Email,Name,Degree,Institution Name,Institution Country
Clark@mays-spence.com,Eric Clark,PhD,Avrasya University,Turkey
Floyd@taylor.com,Walter Floyd,Master,British University in Dubai,United Arab Emirates
Davis@lopez.com,Michelle Davis,PhD,Maldives National University,Maldives
Lewis@pratt-kane.com,Alyssa Lewis,Master,National University of Kiev-Mohyla Academy,Ukraine
Wheeler@mckenzie.com,Andrew Wheeler,PhD,University of Southern Europe (Monaco Business School),Monaco
Davis@roberts.com,Jessica Davis,PhD,Kun Shan University,Taiwan
Walton@carr-taylor.com,Victoria Walton,Master,Tshwane University of Technology,South Africa
Torres@kelly-wyatt.com,Lauren Torres,Master,American University of Antigua,Antigua and Barbuda
Young@santos-vasquez.com,Brenda Young,PhD,Bamenda University of Science & Technology,Cameroon
Gonzalez@bray-lee.biz,Heather Gonzalez,Master,Mongolian State University of Education,Mongolia
Young@li.com,Gabriel Young,PhD,Vilnius University,Lithuania
Miller@parker.com,Barbara Miller,PhD,"University of the West Indies, Cave Hill",Barbados
Robinson@perez-armstrong.biz,Jeffrey Robinson,Master,University of the Faroe Islands,Faroe Islands
Mcdonald@anderson.com,Douglas Mcdonald,PhD,Houdegbe North American University Benin,Benin
Roberson@freeman-barr.com,William Roberson,Master,Technical University of Sofia,Bulgaria
Mendoza@singh-rose.info,Melissa Mendoza,PhD,Mongolian University of Science and Technology,Mongolia
Davis@santos.org,James Davis,PhD,National Ribat University,Sudan
York@whitaker-dunn.com,Taylor York,Master,University of Montenegro,Montenegro
Rivera@miller.com,Kathy Rivera,Master,Westhill University,Mexico
Smith@leonard.com,Sheri Smith,Master,"Independent University, Bangladesh",Bangladesh
Duffy@williams-solis.biz,Susan Duffy,PhD,Gulf University College,Bahrain
Walters@summers.org,Dana Walters,PhD,Comrat State University,"Moldova, Republic of"
Brown@chavez.biz,Anne Brown,Master,Zagreb University of Applied Sciences,Croatia
Orr@gillespie.biz,Misty Orr,Master,Catholic University of Malawi,Malawi
Cook@davis-cline.net,Nichole Cook,Master,"International School of New Media, University of Lübeck",Germany
Reilly@torres.com,Matthew Reilly,PhD,Chiang Mai Rajabhat University,Thailand
Cantu@kim-roberts.info,Kim Cantu,PhD,Campus Bio-Medico University of Rome,Italy
Harmon@miller.com,Larry Harmon,Master,University of Veterinary and Pharmaceutical Science,Czech Republic
Crosby@martinez-marshall.com,Amy Crosby,Master,Anton de Kom University,Suriname
Bush@perez.com,Courtney Bush,Master,Open University of the Netherlands,Netherlands
Ramos@burke.org,Megan Ramos,Master,Northern Caribbean University,Jamaica
Calhoun@price.com,Julie Calhoun,Master,Charisma University,Turks and Caicos Islands
Dominguez@dixon.com,Jason Dominguez,Master,University of Swaziland,Swaziland
Baker@henderson.com,Vernon Baker,Master,National University of Uzbekistan,Uzbekistan
Gomez@stark.com,James Gomez,Master,University of Southern Europe (Monaco Business School),Monaco
Goodman@reyes-taylor.com,Michelle Goodman,PhD,University of Zenica,Bosnia and Herzegovina
Stone@floyd.com,Ashley Stone,PhD,Westhill University,Mexico
Schneider@gardner-white.com,Leah Schneider,PhD,Hope Africa University,Burundi
Marsh@brown.net,Erin Marsh,Master,University of Swaziland,Swaziland
Lewis@matthews.biz,Shelley Lewis,PhD,University of Central Europe in Skalica,Slovakia
Carrillo@maldonado-curtis.biz,Karen Carrillo,PhD,University of Trinidad and Tobago,Trinidad and Tobago
Mccann@anthony.org,Lori Mccann,Master,International University of Travnik,Bosnia and Herzegovina
Velez@henderson.biz,Richard Velez,PhD,Westhill University,Mexico
Love@giles.com,Adam Love,Master,University of Qatar,Qatar
Foster@rodriguez-gomez.org,Tyler Foster,PhD,European University Portugal,Portugal
Morris@quinn.com,Sarah Morris,Master,University of Saint Joseph,Macao
Leonard@goodwin.org,James Leonard,PhD,University of Luxemburg,Luxembourg
Palmer@robles.org,Erica Palmer,PhD,Monash University,Australia
Watson@day-bennett.biz,Elizabeth Watson,Master,University of Aviation and Technology,Tunisia
Ford@foster-warner.com,Dylan Ford,PhD,University of Seychelles - American Institute of Medicine,Seychelles
