Student ID,Name,Address,Major,HomeInst,StartDate
94563249,Timothy Lynn,"3995 Nash Track Suite 112, West Martinburgh, KS 55297",Languages,Belmont University,2021-09-04
51821736,Gabriella House,"326 Dodson Lodge Suite 031, West Brittany, RI 02072",Art History,,
26423806,Brittany Burton,"0008 Thomas Passage Suite 853, Lake Alexanderstad, NV 60890",Art History,Eastern Michigan University,1983-06-24
86436905,Dr. Brittany Lynch,"445 Garcia Centers Suite 837, Longfurt, ID 18517",Languages,,
87839922,Jeffrey Tran,"35967 Jamie Place Suite 490, North Diana, TN 89115",Urban Forestry,Hokkaido Tokai University,1980-09-12
98818907,James King,"72308 Janice Trail, East Andreland, MN 33790",Urban Forestry,Penza State University,1970-07-11
20990374,Jessica Smith MD,"24356 Timothy Ridge Apt. 474, Wandafort, WV 33622",Languages,,
81381828,Deborah Wright,"80377 Parks Hill, New Anneton, NV 15245",Computer Science,,
36476991,Dana Smith,"5725 Anderson Manor, Port Nicoleburgh, LA 58619",Urban Forestry,,
47540802,Renee Harris,"094 Bradley Views Apt. 481, Danielport, CT 65778",Art History,,
97395965,Theresa King,"1051 Williams Lake, Andersenview, ID 54173",Commerce,,
68208431,Steven Neal,"0534 Johns Mews Apt. 414, Richardsonchester, MS 53884",Urban Forestry,,
63612752,Joseph Villa,"70877 Megan Bypass, West Brianland, TN 24687",Computer Science,Pennsylvania State University,2005-10-10
58011554,William Terry,"3677 Darlene Neck, Port Susanview, SD 35361",Art History,,
71273124,Steven Abbott,"USCGC Avila, FPO AA 33501",Art History,,
44315986,Melinda Harrison,"4661 Pratt Via, Sandersview, UT 70506",Commerce,,
27496880,Catherine Fuentes,"705 Clark Burgs Suite 309, South Jamestown, UT 84615",Computer Science,,
33132947,Edward Weeks,"652 Carl Gardens, Lake Christopher, ID 95782",Computer Science,Baikal National University of Economics and Law,2014-11-24
18498174,Andrea Stevens,"605 Derek Grove, Johnsonmouth, MA 40852",Art History,,
34140142,Holly Warren,"733 Hancock Forge, Lake Yvonnemouth, WY 28181",Languages,,
22149211,Stephen Hall,"USS Kelly, FPO AP 82929",Computer Science,"Islamic Azad University, Yazd",1986-11-16
91265637,Edgar Williams,"8172 Diane Dale Suite 145, East Edward, AL 33432",Art History,,
73038599,Erin Keller,"PSC 9367, Box 4662, APO AA 66097",Urban Forestry,,
66244719,Jessica Johnson,"07147 Santana Port, Phillipston, MS 08848",Computer Science,Kotelawala Defence University,1971-05-03
69861048,Adam Ross,"8419 Yu Freeway, New Stephenmouth, ID 44636",Commerce,,
28734668,Angela Nelson,"3272 Mendoza Fields, Millershire, CO 85526",Commerce,,
88245019,Ashley Mendez,"836 Antonio Stravenue, Dawnhaven, RI 23735",Commerce,,
49121442,Beth Tapia,"USCGC Stewart, FPO AE 95434",Art History,,
42912534,Michael Christian,"33530 Hamilton Hollow, North Tammy, NH 63650",Commerce,Xi''an Eurasia University,1971-03-23
77240219,Sheila Roth,"64125 Catherine Fords, South Deanna, DC 80689",Commerce,,
87442536,Rebecca Sanford,"84926 Park Freeway, West Heather, VT 99514",Urban Forestry,Shanghai University of Engineering Science,2019-05-23
36668639,Tonya Mckinney,"68181 Martin Lodge, South Scott, MA 83405",Art History,,
87978723,Kenneth Sanchez,"39037 Sanchez Glens, Lake Williamview, NC 68771",Languages,Albany State University,1985-07-12
37977452,Todd Potter,"3763 Tony Trafficway Suite 051, Romerochester, WV 35079",Art History,,
